alt_kullanim;condition_field;condition_operator;condition_value;check_field;check_operator;check_value;severity;category;message
26;;always;;detay_konut;not_empty;;error;fazla_veri;Resmi kurum alanında konut detayı olamaz
26;;always;;detay_ticaret;not_empty;;error;fazla_veri;Resmi kurum alanında ticaret detayı olamaz
26;;always;;detay_sosyalaltyapi;not_empty;;error;fazla_veri;Resmi kurum alanında sosyal altyapı detayı olamaz
27;;always;;detay_konut;not_empty;;error;fazla_veri;Resmi kurum alanında konut detayı olamaz
27;;always;;detay_ticaret;not_empty;;error;fazla_veri;Resmi kurum alanında ticaret detayı olamaz
27;;always;;detay_sosyalaltyapi;not_empty;;error;fazla_veri;Resmi kurum alanında sosyal altyapı detayı olamaz
30;;always;;detay_konut;not_empty;;error;fazla_veri;Park alanında konut detayı olamaz
30;;always;;detay_ticaret;not_empty;;error;fazla_veri;Park alanında ticaret detayı olamaz
30;;always;;detay_sosyalaltyapi;not_empty;;error;fazla_veri;Park alanında sosyal altyapı detayı olamaz
30;;always;;detay_resmi;not_empty;;error;fazla_veri;Park alanında resmi kurum detayı olamaz
31;;always;;detay_konut;not_empty;;error;fazla_veri;Kent parkında konut detayı olamaz
31;;always;;detay_ticaret;not_empty;;error;fazla_veri;Kent parkında ticaret detayı olamaz
31;;always;;detay_sosyalaltyapi;not_empty;;error;fazla_veri;Kent parkında sosyal altyapı detayı olamaz
31;;always;;detay_resmi;not_empty;;error;fazla_veri;Kent parkında resmi kurum detayı olamaz
38;;always;;detay_konut;not_empty;;error;fazla_veri;Eğitim alanında konut detayı olamaz
38;;always;;detay_ticaret;not_empty;;error;fazla_veri;Eğitim alanında ticaret detayı olamaz
38;;always;;detay_resmi;not_empty;;error;fazla_veri;Eğitim alanında resmi kurum detayı olamaz
39;;always;;detay_konut;not_empty;;error;fazla_veri;Eğitim alanında konut detayı olamaz
39;;always;;detay_ticaret;not_empty;;error;fazla_veri;Eğitim alanında ticaret detayı olamaz
39;;always;;detay_resmi;not_empty;;error;fazla_veri;Eğitim alanında resmi kurum detayı olamaz
40;;always;;detay_konut;not_empty;;error;fazla_veri;Eğitim alanında konut detayı olamaz
40;;always;;detay_ticaret;not_empty;;error;fazla_veri;Eğitim alanında ticaret detayı olamaz
40;;always;;detay_resmi;not_empty;;error;fazla_veri;Eğitim alanında resmi kurum detayı olamaz
44;;always;;detay_konut;not_empty;;error;fazla_veri;Üniversite alanında konut detayı olamaz
44;;always;;detay_ticaret;not_empty;;error;fazla_veri;Üniversite alanında ticaret detayı olamaz
44;;always;;detay_resmi;not_empty;;error;fazla_veri;Üniversite alanında resmi kurum detayı olamaz
48;;always;;detay_konut;not_empty;;error;fazla_veri;Dini tesis alanında konut detayı olamaz
48;;always;;detay_ticaret;not_empty;;error;fazla_veri;Dini tesis alanında ticaret detayı olamaz
48;;always;;detay_resmi;not_empty;;error;fazla_veri;Dini tesis alanında resmi kurum detayı olamaz
49;;always;;detay_konut;not_empty;;error;fazla_veri;Dini tesis alanında konut detayı olamaz
49;;always;;detay_ticaret;not_empty;;error;fazla_veri;Dini tesis alanında ticaret detayı olamaz
49;;always;;detay_resmi;not_empty;;error;fazla_veri;Dini tesis alanında resmi kurum detayı olamaz
50;;always;;detay_konut;not_empty;;error;fazla_veri;Dini tesis alanında konut detayı olamaz
50;;always;;detay_ticaret;not_empty;;error;fazla_veri;Dini tesis alanında ticaret detayı olamaz
50;;always;;detay_resmi;not_empty;;error;fazla_veri;Dini tesis alanında resmi kurum detayı olamaz
52;;always;;detay_konut;not_empty;;error;fazla_veri;Sosyal tesis alanında konut detayı olamaz
52;;always;;detay_ticaret;not_empty;;error;fazla_veri;Sosyal tesis alanında ticaret detayı olamaz
52;;always;;detay_resmi;not_empty;;error;fazla_veri;Sosyal tesis alanında resmi kurum detayı olamaz
59;;always;;detay_konut;not_empty;;error;fazla_veri;Sağlık tesis alanında konut detayı olamaz
59;;always;;detay_ticaret;not_empty;;error;fazla_veri;Sağlık tesis alanında ticaret detayı olamaz
59;;always;;detay_resmi;not_empty;;error;fazla_veri;Sağlık tesis alanında resmi kurum detayı olamaz
62;;always;;detay_konut;not_empty;;error;fazla_veri;Spor alanında konut detayı olamaz
62;;always;;detay_ticaret;not_empty;;error;fazla_veri;Spor alanında ticaret detayı olamaz
62;;always;;detay_resmi;not_empty;;error;fazla_veri;Spor alanında resmi kurum detayı olamaz
125;;always;;detay_konut;not_empty;;error;fazla_veri;Eğitim alanında konut detayı olamaz
125;;always;;detay_ticaret;not_empty;;error;fazla_veri;Eğitim alanında ticaret detayı olamaz
125;;always;;detay_resmi;not_empty;;error;fazla_veri;Eğitim alanında resmi kurum detayı olamaz
